date,open,high,low,close,volume,ticker
2020-01-02,11026.072030958816,11544.945771792954,11026.072030958816,11480.0869140625,3539380,EIB
2020-01-03,11415.227169563967,11480.086987372106,11188.2197265625,11188.2197265625,342673,EIB
2020-01-06,11090.930815525126,11447.656929848143,11090.930815525126,11350.3681640625,85118,EIB
2020-01-07,11350.368385678741,11447.657153363949,11090.931032075845,11317.9384765625,713605,EIB
2020-01-08,11123.360648933487,11350.36808745568,11123.360648933487,11220.6494140625,2148954,EIB
2020-01-09,11285.509527109774,11350.368385678741,11155.790850308325,11317.9384765625,15465587,EIB
2020-01-10,11350.367865198985,11804.382733353099,11350.367865198985,11674.6640625,741741,EIB
2020-01-13,11674.6640625,11739.522918094815,11220.649194345886,11674.6640625,6456470,EIB
2020-01-14,11220.649194345886,11674.6640625,11188.219286716743,11674.6640625,11343475,EIB
2020-01-15,11674.6640625,11674.6640625,11350.367865198985,11674.6640625,87725,EIB
2020-01-16,11317.938035855583,11674.6641432532,11285.5090876656,11382.7978515625,116648,EIB
2020-01-17,11350.36778738602,11674.663982463808,11350.36778738602,11544.9453125,25479682,EIB
2020-01-20,11382.797694792838,11577.375219906817,11317.937879979203,11544.9453125,885177,EIB
2020-01-21,11544.945695633785,11544.945695633785,11155.790632491216,11350.3681640625,1869884,EIB
2020-01-22,11350.368385678741,11350.368385678741,11155.790850308325,11317.9384765625,71998,EIB
2020-01-30,11220.64940650378,11934.101629853913,11026.071876376831,11642.234375,417217,EIB
2020-01-31,11642.233853918207,11674.663760709034,11220.64890429124,11577.375,1005221,EIB
2020-02-03,11253.079472510659,11544.945771792954,10799.064589406975,11480.0869140625,172541,EIB
2020-02-04,11285.5090876656,11512.51652331286,11090.930600208323,11382.7978515625,280585,EIB
2020-02-05,11155.7900390625,11382.797467041242,11123.360132304553,11155.7900390625,7800852,EIB
2020-02-06,11058.501939655795,11480.0869140625,11026.072030958816,11480.0869140625,106981,EIB
2020-02-07,11480.086838331188,11480.086838331188,11188.219581310766,11350.3681640625,8342492,EIB
2020-02-10,11350.368385678741,11350.368385678741,11123.360941192084,11317.9384765625,124648,EIB
2020-02-11,11317.938035855583,11382.7978515625,11155.79041591524,11382.7978515625,1538907,EIB
2020-02-12,11447.657153363949,11447.657153363949,11220.649708877292,11317.9384765625,160556,EIB
2020-02-13,11220.648975071706,11350.367643389842,11220.648975071706,11285.5087890625,71922,EIB
2020-02-14,11220.6494140625,11350.36808745568,11155.790557197653,11220.6494140625,957070,EIB
2020-02-17,11285.509009190453,11317.937957154938,11188.219286306592,11253.0791015625,771634,EIB
2020-02-18,11350.367643389842,11382.797550385238,11220.648975071706,11285.5087890625,3264810,EIB
2020-02-19,11220.6494140625,11285.509230590835,11188.219505798334,11220.6494140625,38089,EIB
2020-02-20,11317.937653525347,11317.937653525347,11155.7900390625,11155.7900390625,399733,EIB
2020-02-21,11220.6494140625,11220.6494140625,10961.21302693963,11220.6494140625,1356138,EIB
2020-02-24,11220.648892914951,11220.648892914951,10701.775183105017,11155.7900390625,122103,EIB
2020-02-25,10701.775183105017,11253.078799672898,10701.775183105017,11155.7900390625,9163384,EIB
2020-02-26,11155.790777321938,11220.649635466569,11026.072101369171,11188.2197265625,690091,EIB
2020-02-27,11026.071883804474,11220.6494140625,11026.071883804474,11220.6494140625,365279,EIB
2020-02-28,11058.501278452102,11220.648892914951,10961.212517841706,11155.7900390625,35842420,EIB
2020-03-02,10993.64212226184,11544.945771792954,10993.64212226184,11480.0869140625,2067002,EIB
2020-03-03,11188.219581310766,11512.516746814234,11188.219581310766,11350.3681640625,182737,EIB
2020-03-04,11447.656929848143,11447.656929848143,11155.790632491216,11350.3681640625,4069293,EIB
2020-03-05,11253.079322326666,11480.086760848859,10863.923302147128,11220.6494140625,1357531,EIB
2020-03-06,11285.508706430845,11285.508706430845,10928.78261108376,11155.7900390625,932646,EIB
2020-03-09,10442.337770111293,11123.360048943796,10442.337770111293,11026.0712890625,207404,EIB
2020-03-10,10507.19779246511,11026.071508723477,10507.19779246511,10993.6416015625,4281926,EIB
2020-03-11,10993.642283479132,10993.642283479132,10312.620908500206,10896.353515625,301023,EIB
2020-03-12,10442.338128095344,10863.923088588203,10150.471838445703,10831.494140625,369779,EIB
2020-03-13,10085.613341260185,10799.064616756032,10085.613341260185,10636.9169921875,26239271,EIB
2020-03-16,10636.916839365997,10636.916839365997,9955.89452277006,10377.4794921875,2019593,EIB
2020-03-17,9793.745510822086,10507.19770440336,9793.745510822086,10442.337890625,16237101,EIB
2020-03-18,10442.337755441673,10604.486328125,10312.620048891135,10604.486328125,3331596,EIB
2020-03-19,10377.479110196762,10604.486540706024,10118.041772568047,10150.4716796875,204571,EIB
2020-03-20,10150.472269982152,10377.479713692896,9923.464826271407,10345.0498046875,48270,EIB
2020-03-23,10377.4794921875,10572.057022739627,9631.598318628685,10377.4794921875,5288040,EIB
2020-03-24,9793.745940867628,10442.33834915038,9793.745940867628,10377.4794921875,4180882,EIB
2020-03-25,10182.901961635373,10409.909400500685,10020.75337973294,10377.4794921875,103587,EIB
2020-03-26,10377.479254024105,10377.479254024105,9826.17562366985,9988.3232421875,6037025,EIB
2020-03-27,9858.605181977582,10182.9013671875,9404.590330751013,10182.9013671875,846118,EIB
2020-03-30,9599.167849944277,10182.9013671875,9501.879090347644,10182.9013671875,577623,EIB
2020-03-31,9923.464862779594,10150.472307325492,9501.8798828125,9501.8798828125,947449,EIB
2020-04-01,9080.294409673583,9858.60546875,9080.294409673583,9858.60546875,21009987,EIB
2020-04-03,9631.598036533402,9858.60546875,9242.44202716346,9858.60546875,3732149,EIB
2020-04-06,9858.606057281031,10053.18359375,9534.30984327824,10053.18359375,6577288,EIB
2020-04-07,9728.887379747212,10053.18359375,9728.887379747212,10053.18359375,3277310,EIB
2020-04-08,9599.16812917004,10020.753086239878,9599.16812917004,9858.60546875,5383917,EIB
2020-04-09,9858.60546875,9923.46432381326,9761.316706323381,9858.60546875,393476,EIB
2020-04-10,9761.316924735507,9826.17578125,9501.879579350565,9826.17578125,757165,EIB
2020-04-13,9826.175561386639,9858.60546875,9631.598036533402,9858.60546875,244100,EIB
2020-04-14,9858.605689338989,9955.89445394247,9696.45710855753,9826.17578125,5421538,EIB
2020-04-15,9826.17578125,9858.605689338989,9664.027200468541,9826.17578125,15639037,EIB
2020-04-16,9728.887016646519,9858.605689338989,9696.45710855753,9826.17578125,9394425,EIB
2020-04-17,9858.60546875,10118.041848666498,9728.88679896002,9858.60546875,1325487,EIB
2020-04-20,9923.46432381326,10053.182993603239,9793.74565402328,9858.60546875,10506765,EIB
2020-04-21,9858.605689338989,9923.464545853481,9631.598252043035,9826.17578125,376946,EIB
2020-04-22,9696.456953057648,10118.041912799701,9696.456953057648,9988.3232421875,3812086,EIB
2020-04-23,10118.042378798065,10182.902196923096,9923.46484375,9923.46484375,335779,EIB
2020-04-24,9826.176076225967,9988.323702211517,9826.176076225967,9923.46484375,10547840,EIB
2020-04-27,9793.74609375,9923.464769364184,9631.5984689799,9793.74609375,36709053,EIB
2020-04-28,9728.887016646519,9826.17578125,9631.598252043035,9826.17578125,13249617,EIB
2020-04-29,9664.026904558017,9826.17548037452,9664.026904558017,9728.88671875,11482881,EIB
2020-05-04,9599.167834081281,9793.745352952998,9599.167834081281,9761.31640625,14307197,EIB
2020-05-05,9761.316625845991,9761.316625845991,9534.30919550096,9728.88671875,11500987,EIB
2020-05-06,9728.88671875,9728.88671875,9599.168050029488,9728.88671875,5035637,EIB
2020-05-07,9826.176002569422,9826.176002569422,9631.5984689799,9793.74609375,3078299,EIB
2020-05-08,9761.316472666043,10085.612659546561,9761.316472666043,9891.0341796875,2201559,EIB
2020-05-11,9891.034479144217,10053.183057325336,9826.17562366985,9988.3232421875,281978,EIB
2020-05-12,9955.893992861667,10020.752846372394,9728.88656607896,9891.0341796875,317280,EIB
2020-05-13,9891.0341796875,9923.464086274584,9210.01285900282,9891.0341796875,758665,EIB
2020-05-14,9761.31700053214,10020.753388268122,9761.31700053214,9955.89453125,1196338,EIB
2020-05-15,9923.46491621618,10118.042452685151,9891.035006916845,10053.18359375,661894,EIB
2020-05-18,9988.323612613243,10215.3310546875,9923.46475473353,10215.3310546875,786180,EIB
2020-05-19,10247.760661763614,10669.345624728996,10247.760661763614,10539.626953125,12423150,EIB
2020-05-20,10507.197786006369,10766.63416414435,10409.909024246694,10572.056640625,4387362,EIB
2020-05-21,10636.916407135277,11285.5087890625,10572.056593144485,11285.5087890625,5482385,EIB
2020-05-22,10831.494218845013,11350.367946301483,10734.205454925892,10961.212890625,972252,EIB
2020-05-25,10831.494218845013,11123.360510602377,10701.775547065026,10961.212890625,6675379,EIB
2020-05-26,10896.353074903269,11090.93060274151,10896.353074903269,10961.212890625,579351,EIB
2020-05-27,11026.071371694155,11415.226414135745,11026.071371694155,11155.7900390625,6623256,EIB
2020-05-28,11155.790418463243,11415.226802359739,10961.212890625,10961.212890625,4397150,EIB
2020-05-29,11026.071883804474,11415.226944320526,11026.071883804474,11220.6494140625,549155,EIB
2020-06-01,11317.9384765625,11739.523456419573,11090.931032075845,11317.9384765625,347809,EIB
2020-06-02,11317.937800625135,11674.663900608608,11317.937800625135,11415.2265625,20510088,EIB
2020-06-03,11480.086156557114,11771.95243658082,11415.226343442886,11447.65625,4768749,EIB
2020-06-04,11415.226343442886,11642.233770015804,11415.226343442886,11447.65625,8678125,EIB
2020-06-05,11544.945771792954,11674.664446917364,11447.657005365523,11480.0869140625,9933095,EIB
2020-06-08,11609.805366120663,11804.382895236991,11480.086693488618,11512.5166015625,8831634,EIB
2020-06-09,11512.516953042705,11869.24211409239,11512.516953042705,11739.5234375,5093302,EIB
2020-06-10,11771.953346563976,11771.953346563976,11544.945902443167,11739.5234375,339167,EIB
2020-06-11,11739.522918094815,11771.952825723958,11577.375299276042,11674.6640625,281281,EIB
2020-06-12,11382.79822104661,11804.383198172261,11382.79822104661,11609.8056640625,7276605,EIB
2020-06-15,11609.805284747466,11934.101484222847,11544.945469054306,11804.3828125,7864987,EIB
2020-06-16,11609.8056640625,11771.953289266132,11577.37575515637,11609.8056640625,986584,EIB
2020-06-17,11804.383255627952,11804.383255627952,11480.087043978729,11739.5234375,2094076,EIB
2020-06-18,11739.5234375,11739.5234375,11544.945902443167,11739.5234375,408900,EIB
2020-06-19,11609.805068626712,11836.8125,11609.805068626712,11836.8125,28727765,EIB
2020-06-22,11674.664140777153,11836.812720346581,11544.945469054306,11804.3828125,159344,EIB
2020-06-23,11836.812640982242,11836.812640982242,11642.234154870857,11674.6640625,54286,EIB
2020-06-24,11804.382733353099,11804.382733353099,11609.805206905185,11674.6640625,30347,EIB
2020-06-25,11609.805366120663,11836.812803310873,11382.797928930453,11512.5166015625,2622262,EIB
