date,open,high,low,close,volume,ticker
2020-01-02,9663.865234375,10000.0,9621.8486328125,10000.0,1867429,POW
2020-01-03,10000.0,10084.033203125,9789.916015625,9831.9326171875,1482036,POW
2020-01-06,9789.916015625,9831.9326171875,9537.8154296875,9537.8154296875,2456955,POW
2020-01-07,9579.83203125,9621.8486328125,9411.7646484375,9453.78125,2253810,POW
2020-01-08,9411.7646484375,9411.7646484375,8823.529296875,9033.61328125,6353741,POW
2020-01-09,9117.6474609375,9327.7314453125,9075.6298828125,9159.6640625,4435211,POW
2020-01-10,9201.6806640625,9369.748046875,9075.6298828125,9327.7314453125,3522897,POW
2020-01-13,9327.7314453125,9327.7314453125,9243.697265625,9243.697265625,1783058,POW
2020-01-14,9327.7314453125,9327.7314453125,9159.6640625,9159.6640625,1711955,POW
2020-01-15,9159.6640625,9159.6640625,9075.6298828125,9159.6640625,1332298,POW
2020-01-16,9243.697265625,9285.7138671875,9159.6640625,9243.697265625,2355626,POW
2020-01-17,9285.7138671875,9285.7138671875,9075.6298828125,9075.6298828125,1939020,POW
2020-01-20,9075.6298828125,9159.6640625,8949.580078125,8991.5966796875,1351933,POW
2020-01-21,9159.6640625,9411.7646484375,9159.6640625,9159.6640625,7592805,POW
2020-01-22,9243.697265625,9369.748046875,9201.6806640625,9327.7314453125,4894991,POW
2020-01-30,9243.697265625,9537.8154296875,9243.697265625,9327.7314453125,3883123,POW
2020-01-31,9327.7314453125,9411.7646484375,8823.529296875,8823.529296875,3125236,POW
2020-02-03,8319.328125,8571.4287109375,8210.083984375,8394.9580078125,4569455,POW
2020-02-04,8487.39453125,8571.4287109375,7983.193359375,7983.193359375,5462312,POW
2020-02-05,8067.22705078125,8151.2607421875,7957.9833984375,8042.0166015625,2738546,POW
2020-02-06,8067.22705078125,8445.3779296875,8033.61328125,8445.3779296875,2620877,POW
2020-02-07,8445.3779296875,8487.39453125,8310.9248046875,8327.7314453125,6771550,POW
2020-02-10,8151.2607421875,8235.2939453125,8109.24365234375,8134.45361328125,1714978,POW
2020-02-11,8168.0673828125,8369.748046875,8151.2607421875,8285.7138671875,2112331,POW
2020-02-12,8352.94140625,8865.5458984375,8319.328125,8865.5458984375,3653596,POW
2020-02-13,8991.5966796875,9201.6806640625,8697.478515625,8865.5458984375,3661402,POW
2020-02-14,8865.5458984375,8865.5458984375,8655.4619140625,8739.49609375,1376316,POW
2020-02-17,8697.478515625,8781.5126953125,8613.4453125,8697.478515625,2564174,POW
2020-02-18,8739.49609375,8781.5126953125,8655.4619140625,8697.478515625,2125577,POW
2020-02-19,8739.49609375,8907.5634765625,8697.478515625,8781.5126953125,2358936,POW
2020-02-20,8823.529296875,9201.6806640625,8823.529296875,9159.6640625,5710035,POW
2020-02-21,9159.6640625,9201.6806640625,8949.580078125,9033.61328125,2097456,POW
2020-02-24,8739.49609375,8781.5126953125,8403.361328125,8403.361328125,3942396,POW
2020-02-25,8084.03369140625,8386.5546875,8084.03369140625,8361.3447265625,4009620,POW
2020-02-26,8151.2607421875,8739.49609375,8151.2607421875,8571.4287109375,2710973,POW
2020-02-27,8571.4287109375,8697.478515625,8403.361328125,8487.39453125,1244309,POW
2020-02-28,8319.328125,8386.5546875,8193.27734375,8277.310546875,2718933,POW
2020-03-02,8277.310546875,8394.9580078125,8218.4873046875,8386.5546875,2126432,POW
2020-03-03,8571.4287109375,8613.4453125,8344.5380859375,8344.5380859375,3021682,POW
2020-03-04,8361.3447265625,8487.39453125,8319.328125,8369.748046875,3189972,POW
2020-03-05,8529.412109375,8739.49609375,8487.39453125,8571.4287109375,4259009,POW
2020-03-06,8529.412109375,8613.4453125,8403.361328125,8487.39453125,2728334,POW
2020-03-09,7899.15966796875,8235.2939453125,7899.15966796875,7899.15966796875,5882656,POW
2020-03-10,7731.09228515625,8058.82373046875,7563.025390625,7983.193359375,3416833,POW
2020-03-11,8042.0166015625,8109.24365234375,7537.81494140625,7579.83203125,6161508,POW
2020-03-12,7142.85693359375,7268.90771484375,7050.42041015625,7050.42041015625,6379827,POW
2020-03-13,6571.4287109375,7478.99169921875,6563.025390625,7478.99169921875,5558262,POW
2020-03-16,7394.9580078125,7462.18505859375,6983.193359375,7462.18505859375,3857681,POW
2020-03-17,7067.22705078125,7890.75634765625,7067.22705078125,7436.974609375,3642671,POW
2020-03-18,7478.99169921875,7521.00830078125,7243.697265625,7361.3447265625,2303482,POW
2020-03-19,7151.2607421875,7302.52099609375,7058.82373046875,7117.64697265625,3133566,POW
2020-03-20,7142.85693359375,7310.92431640625,7067.22705078125,7109.24365234375,2356602,POW
2020-03-23,6848.7392578125,7109.24365234375,6613.4453125,6613.4453125,5508365,POW
2020-03-24,6310.92431640625,6554.6220703125,6268.90771484375,6327.73095703125,7115115,POW
2020-03-25,6621.8486328125,6655.46240234375,6529.41162109375,6596.638671875,8051693,POW
2020-03-26,6554.6220703125,6554.6220703125,6386.5546875,6386.5546875,2533782,POW
2020-03-27,6344.53759765625,6714.28564453125,6344.53759765625,6403.361328125,8682440,POW
2020-03-30,6050.42041015625,6302.52099609375,5957.9833984375,6000.0,7522202,POW
2020-03-31,6000.0,6151.2607421875,5756.302734375,5957.9833984375,5297485,POW
2020-04-01,5882.35302734375,6184.8740234375,5882.35302734375,6184.8740234375,5101159,POW
