date,close,high,low,open,volume,ticker
2020-01-02,11934.736328125,12026.189453125,11797.5546875,11980.462890625,1398270,PDR
2020-01-03,11614.6474609375,11911.8720703125,11568.919921875,11911.8720703125,921965,PDR
2020-01-06,11728.96484375,11751.828125,11591.7841796875,11660.3740234375,2295334,PDR
2020-01-07,10928.7431640625,11751.828125,10928.7431640625,11706.1015625,4870184,PDR
2020-01-08,11683.2373046875,11683.2373046875,10768.6982421875,11157.3779296875,2925796,PDR
2020-01-09,11889.0087890625,11980.462890625,11568.919921875,11683.2373046875,2123229,PDR
2020-01-10,11591.7841796875,11934.736328125,11431.7392578125,11889.0087890625,2367721,PDR
2020-01-13,11271.6953125,11500.330078125,11271.6953125,11477.466796875,1160492,PDR
2020-01-14,11751.828125,11751.828125,11248.83203125,11294.55859375,3036168,PDR
2020-01-15,11706.1015625,11797.5546875,11568.919921875,11751.828125,7617776,PDR
2020-01-16,11706.1015625,11751.828125,11523.193359375,11751.828125,7757213,PDR
2020-01-17,11706.1015625,11751.828125,11614.6474609375,11706.1015625,1753228,PDR
2020-01-20,11706.1015625,11751.828125,11614.6474609375,11706.1015625,2945521,PDR
2020-01-21,11889.0087890625,11889.0087890625,11614.6474609375,11706.1015625,2460227,PDR
2020-01-22,12117.6435546875,12117.6435546875,11706.1015625,11889.0087890625,2526358,PDR
2020-01-30,12003.326171875,12117.6435546875,11843.2822265625,12117.6435546875,2345504,PDR
2020-01-31,11911.8720703125,11980.462890625,11706.1015625,11889.0087890625,1497556,PDR
2020-02-03,11911.8720703125,11911.8720703125,11614.6474609375,11911.8720703125,1089678,PDR
2020-02-04,11934.736328125,11934.736328125,11797.5546875,11934.736328125,3581253,PDR
2020-02-05,11934.736328125,11980.462890625,11157.3779296875,11934.736328125,1939354,PDR
2020-02-06,11957.599609375,11980.462890625,11820.4189453125,11889.0087890625,1246871,PDR
2020-02-07,11980.462890625,11980.462890625,11820.4189453125,11957.599609375,982784,PDR
2020-02-10,11866.1455078125,11934.736328125,11774.69140625,11934.736328125,1185574,PDR
2020-02-11,11843.2822265625,11957.599609375,11820.4189453125,11866.1455078125,1469847,PDR
2020-02-12,11843.2822265625,11889.0087890625,11774.69140625,11843.2822265625,1216871,PDR
2020-02-13,11934.736328125,11934.736328125,11797.5546875,11843.2822265625,1529727,PDR
2020-02-14,11934.736328125,11957.599609375,11820.4189453125,11934.736328125,1587615,PDR
2020-02-17,11889.0087890625,11957.599609375,11797.5546875,11934.736328125,1572590,PDR
2020-02-18,11957.599609375,11957.599609375,11797.5546875,11889.0087890625,1607536,PDR
2020-02-19,11889.0087890625,11934.736328125,11820.4189453125,11934.736328125,7016578,PDR
2020-02-20,11911.8720703125,11934.736328125,11820.4189453125,11911.8720703125,1659826,PDR
2020-02-21,11911.8720703125,11934.736328125,11797.5546875,11934.736328125,2168211,PDR
2020-02-24,11774.69140625,11980.462890625,11774.69140625,11889.0087890625,3043670,PDR
2020-02-25,11889.0087890625,11889.0087890625,11751.828125,11751.828125,1307188,PDR
2020-02-26,11843.2822265625,11889.0087890625,11797.5546875,11889.0087890625,1079096,PDR
2020-02-27,11843.2822265625,11889.0087890625,11774.69140625,11843.2822265625,4458065,PDR
2020-02-28,11889.0087890625,11889.0087890625,11774.69140625,11843.2822265625,1310534,PDR
2020-03-02,11889.0087890625,11889.0087890625,11797.5546875,11889.0087890625,1658928,PDR
2020-03-03,11934.736328125,11934.736328125,11797.5546875,11889.0087890625,6616485,PDR
2020-03-04,11889.0087890625,11934.736328125,11843.2822265625,11889.0087890625,2322540,PDR
2020-03-05,11911.8720703125,11934.736328125,11889.0087890625,11889.0087890625,1620831,PDR
2020-03-06,11934.736328125,11934.736328125,11797.5546875,11911.8720703125,1634959,PDR
2020-03-09,11706.1015625,11889.0087890625,11248.83203125,11797.5546875,1433525,PDR
2020-03-10,11706.1015625,11706.1015625,11203.1044921875,11386.0126953125,803437,PDR
2020-03-11,11660.3740234375,11706.1015625,11340.28515625,11706.1015625,569704,PDR
2020-03-12,11660.3740234375,11660.3740234375,11111.650390625,11340.28515625,447171,PDR
2020-03-13,11660.3740234375,11660.3740234375,11294.55859375,11340.28515625,252450,PDR
2020-03-16,11568.919921875,11568.919921875,11248.83203125,11340.28515625,1844181,PDR
2020-03-17,11660.3740234375,11660.3740234375,11248.83203125,11386.0126953125,1859532,PDR
2020-03-18,11523.193359375,11660.3740234375,11340.28515625,11660.3740234375,723243,PDR
2020-03-19,11523.193359375,11523.193359375,11294.55859375,11477.466796875,2041568,PDR
2020-03-20,11523.193359375,11523.193359375,11225.9677734375,11523.193359375,4950248,PDR
2020-03-23,11431.7392578125,11523.193359375,11294.55859375,11523.193359375,731203,PDR
2020-03-24,11317.421875,11431.7392578125,11317.421875,11431.7392578125,795540,PDR
2020-03-25,11431.7392578125,11431.7392578125,11294.55859375,11317.421875,429104,PDR
2020-03-26,11477.466796875,11477.466796875,11340.28515625,11431.7392578125,1239219,PDR
2020-03-27,11477.466796875,11477.466796875,11294.55859375,11431.7392578125,1227455,PDR
2020-03-30,11431.7392578125,11431.7392578125,11294.55859375,11431.7392578125,1292493,PDR
2020-03-31,11386.0126953125,11431.7392578125,11203.1044921875,11431.7392578125,4172106,PDR
2020-04-01,11386.0126953125,11386.0126953125,11248.83203125,11386.0126953125,1826531,PDR
2020-04-03,11408.8759765625,11408.8759765625,11271.6953125,11386.0126953125,3830493,PDR
2020-04-06,11408.8759765625,11408.8759765625,11294.55859375,11340.28515625,2341784,PDR
